formula,temperature(K),sum_Atomic_Number,sum_Atomic_Weight,sum_Mendeleev_Number,sum_l_quantum_number,sum_Atomic_Radius,sum_Covalent_Radius,sum_Pauling_Electronegativity,sum_number_of_valence_electrons,sum_1st_ionization_potential_(kJ/mol),sum_Melting_point_(K),sum_Boiling_Point_(K),sum_Density_(g/mL),sum_specific_heat_(J/g_K)_,sum_heat_of_fusion_(kJ/mol)_,sum_heat_of_vaporization_(kJ/mol)_,sum_thermal_conductivity_(W/(m_K))_,sum_SpaceGroupNumber,Thermal_conductivity
(Ag1.9996Te)0.9(PbTe)0.1,300,144.78308,342.4439274,215.0766,1.1,4.353406,4.2504492,5.7603052,26.19604,2256.13684,3005.540346,5936.640346,26.27622,0.6359154,38.305832,521.2737912,777.92556,579.419,
(Ag1.9996Te)0.9(PbTe)0.1,550,144.78308,342.4439274,215.0766,1.1,4.353406,4.2504492,5.7603052,26.19604,2256.13684,3005.540346,5936.640346,26.27622,0.6359154,38.305832,521.2737912,777.92556,579.419,
(CoGe2)0.2(GeTe)17Sb2Te3,723,1704.2,4070.72064,3356.2,39.8,49.314,51.24,81.45,201.4,32458.8,37852.5,84328.74,232.528,10.072,1035.534,7038.24,1157.86,7325.8,
(Ge0.9Sb0.1Te)0.95(SnSe)0.025(SnS)0.025,300,85.355,203.5799,169.545,2.0,2.48385,2.5817,4.13455,10.095,1640.265,1863.142,4233.2525,11.64915,0.52065,50.6485875,356.1478,59.105225,361.695,
(Ge0.9Sb0.1Te)0.95(SnSe)0.025(SnS)0.025,710,85.355,203.5799,169.545,2.0,2.48385,2.5817,4.13455,10.095,1640.265,1863.142,4233.2525,11.64915,0.52065,50.6485875,356.1478,59.105225,361.695,
(GeTe)0.5(AgBiSe1.995Br0.005)0.5,300,141.0025,337.491645,249.015,2.5,3.809775,3.93995,6.581025,19.0025,2473.9975,2350.8395,5298.7845,20.690825,0.7578825,45.20548,407.059345,250.079005,321.125,
(GeTe)0.5(AgBiSe1.995Br0.005)0.5,500,141.0025,337.491645,249.015,2.5,3.809775,3.93995,6.581025,19.0025,2473.9975,2350.8395,5298.7845,20.690825,0.7578825,45.20548,407.059345,250.079005,321.125,
(GeTe)0.8(AgBiSe2)0.2,300,106.8,255.121714,201.0,2.2,3.012,3.118,5.098,13.6,1968.0,2106.48,4739.8,15.214,0.615,50.7416,392.916,137.382,354.6,
(GeTe)0.8(AgBiSe2)0.2,467,106.8,255.121714,201.0,2.2,3.012,3.118,5.098,13.6,1968.0,2106.48,4739.8,15.214,0.615,50.7416,392.916,137.382,354.6,
(Pb0.93Sn0.07)(Te0.93Se0.07),300,130.5,325.2009,170.86,2.0,2.7497,2.8025,4.0078,10.0,1589.55,1300.34,3291.864,17.2522,0.34519,21.68938,237.4775,39.7129,361.46,
(Pb0.93Sn0.07)(Te0.93Se0.07),773,130.5,325.2009,170.86,2.0,2.7497,2.8025,4.0078,10.0,1589.55,1300.34,3291.864,17.2522,0.34519,21.68938,237.4775,39.7129,361.46,
(Sn0.89Mn0.14Te)(Cu2Te)0.05,300,105.5,253.677827,179.38,2.42,2.9524,3.005,4.3564,11.94,1718.34,1556.382,4186.437,14.9941,0.51723,27.61231,380.1095,102.9363,337.97,
