formula,temperature(K),Thermal Conductivity,Seebeck,Electrical Conductivity
(Ag1.9996Te)0.9(PbTe)0.1,300,0.8807,-97.94,130000.32
(Ag1.9996Te)0.9(PbTe)0.1,550,0.5386,-163.9,58979.29
(CoGe2)0.2(GeTe)17Sb2Te3,723,1.5523,137.28,42260.54
(Ge0.9Sb0.1Te)0.95(SnSe)0.025(SnS)0.025,300,1.61399999999999,159.22,81616.24
(Ge0.9Sb0.1Te)0.95(SnSe)0.025(SnS)0.025,710,1.3979,247.26,64975.04
(GeTe)0.5(AgBiSe1.995Br0.005)0.5,300,1.65329999999999,14.69,74364.39
(GeTe)0.5(AgBiSe1.995Br0.005)0.5,500,1.56327499999999,51.37,50700.04
(GeTe)0.8(AgBiSe2)0.2,300,1.0132,96.78,117915.02
(GeTe)0.8(AgBiSe2)0.2,467,0.933275,121.18,93305.4
(Pb0.93Sn0.07)(Te0.93Se0.07),300,2.41469999999999,-163.8,116094.62
(Pb0.93Sn0.07)(Te0.93Se0.07),773,1.2083,-160.73,24182.54
(Sn0.89Mn0.14Te)(Cu2Te)0.05,300,3.7349,36.79,376579.06
(Sn0.89Mn0.14Te)(Cu2Te)0.05,920,1.7198,154.2,97175.4
(Sn0.91Mg0.12Te)(Cu2Te)0.05,300,3.34703999999999,35.07,378534.12
(Sn0.91Mg0.12Te)(Cu2Te)0.05,900,1.62958333333333,157.26,89887.16
Ag2Sb0.02Te0.98,300,0.749599999999999,-68.47,72847.85
AgCuTe,300,1.37729999999999,104.31,60089.63
AgCuTe,660,0.5623,246.01,24039.25
AgCuTe0.9I0.1,300,1.19849999999999,162.03,38735.72
AgCuTe0.9I0.1,463,0.453799999999999,180.18,27034.5366666666
AgCuTe0.9Se0.1,300,1.05249999999999,155.53,38782.44
AgCuTe0.9Se0.1,670,0.4741,206.54,22951.16
AgGaTe2,300,2.26739999999999,69.09,24356.71
AgInTe2,300,1.73489999999999,205.75,57828.61
AgInTe2,750,1.11469999999999,202.96,41964.57
AgSb0.94Cd0.06Te2,300,1.0453,-16.92,64776.37
AgSb0.94Cd0.06Te2,573,1.02709999999999,134.14,47376.23
AgSb0.96Zn0.04Te2,300,1.01139999999999,38.98,59491.72
AgSb0.96Zn0.04Te2,585,0.991899999999999,70.86,44627.05
AgSbTe1.85Se0.15,300,0.8875,16.96,51155.43
AgSbTe1.85Se0.15,573,0.9069,124.85,37348.43
Bi0.3Sb1.625In0.075Te3,300,0.9054,225.46,50240.17
Bi0.5Sb1.495Cu0.005Te3,300,1.1394,226.02,57891.83
Bi0.5Sb1.495Cu0.005Te3,450,1.33429999999999,212.55,35819.6
Bi0.5Sb1.5Te3,320,1.3108,224.36,53262.74
Bi0.5Sb1.5Te3,350,1.3447,225.54,49761.34
BiCuO0.88Te,323,1.20083333333333,132.38,35564.74
BiCuO0.88Te,673,1.68999999999999,158.87,13801.3
BiTe,300,17.3372999999999,-48.33,187413.86
BiTe,500,16.6526999999999,-18.9,122945.23
Cu0.7Ag0.3Ga0.4In0.6Te2,300,2.03039999999999,181.17,26856.52
Cu0.7Ag0.3Ga0.4In0.6Te2,873,1.26429999999999,213.72,24421.77
Cu0.98GaSb0.02Te2,310,2.66079999999999,150.23,16769.83
Cu0.98GaSb0.02Te2,721,1.4101,78.45,20073.83
CuGa0.36In0.64Te2,320,2.54589999999999,170.17,23886.35
CuGa0.36In0.64Te2,701,1.5375,207.54,23226.91
CuInTe2,300,1.98399999999999,134.17,30728.25
CuInTe2,875,1.20579999999999,210.55,24817.24
Ge0.85Bi0.05Sb0.1Te,300,1.4705,110.06,60986.62
Ge0.85Bi0.05Sb0.1Te,725,1.3389,215.49,53695.73
Ge0.86Pb0.1Bi0.04Te,300,1.6917,105.86,73257.15
Ge0.86Pb0.1Bi0.04Te,600,1.3768,180.26,69009.02
Ge0.86Sb0.1Zn0.04Te,300,1.96619999999999,81.83,80532.03
Ge0.86Sb0.1Zn0.04Te,780,1.5217,183.57,64873.06
Ge0.87Sn0.05Sb0.08Te,300,1.5056,110.58,61212.98
Ge0.87Sn0.05Sb0.08Te,735,1.41939999999999,228.13,53601.22
Ge0.89Sb0.1In0.01Te,300,1.5672,159.94,63008.12
Ge0.89Sb0.1In0.01Te,780,1.43309999999999,251.43,55479.82
Ge0.93In0.01Bi0.06Te,300,2.60349999999999,100.13,109714.56
Ge0.93In0.01Bi0.06Te,723,1.6428,189.37,73908.73
Ge0.94Bi0.06Te,300,2.821,98.56,110196.73
Ge0.94Bi0.06Te,725,1.6938,193.48,73484.22
Ge0.9Cd0.05Bi0.05Te,300,2.671,81.22,199977.5
Ge0.9Cd0.05Bi0.05Te,650,1.84379999999999,162.083333333333,82614.8
Ge0.9Sb0.1Te,300,1.6447,142.8,65241.85
Ge0.9Sb0.1Te,725,1.5208,240.18,57988.94
Ge0.9Sb0.1Te0.9Se0.05S0.05,300,1.71027999999999,153.05,104924.49
Ge0.9Sb0.1Te0.9Se0.05S0.05,630,1.4481,224.69,77600.21
K0.02Pb0.98Te0.75Se0.25,300,2.63529999999999,-47.57,136895.73
K0.02Pb0.98Te0.75Se0.25,773,1.04299999999999,3.0,35579.62
K0.06Bi2Te3.18,300,1.1106,-108.22,69314.19
K0.06Bi2Te3.18,350,1.1112,-110.33,68204.25
Mn0.98Na0.02Te,300,26.9963,-11.86,134109.42
Mn0.98Na0.02Te,900,25.87,58.17,54409.77
MnTe,300,27.1478,-11.72,133463.96
MnTe,900,26.0979,60.17,54164.85
Na0.03Eu0.03Sn0.02Pb0.92Te,300,2.44429999999999,109.73,107189.85
Na0.03Eu0.03Sn0.02Pb0.92Te,850,0.985799999999999,234.61,30243.99
Na0.95Pb20SbTe22,300,2.132,-8.21,52825.52
Na0.95Pb20SbTe22,650,1.4711,-49.3,26287.05
Pb0.953Na0.04Ge0.007Te,300,2.76419999999999,89.1,128274.73
Pb0.953Na0.04Ge0.007Te,805,0.964299999999999,247.83,35208.68
Pb0.9965In0.0035Te0.996I0.004,300,2.36889999999999,-170.06,92949.37
Pb0.9965In0.0035Te0.996I0.004,773,1.2883,-186.66,28638.34
PbTe0.9988I0.0012,300,2.34139999999999,-193.11,82793.64
PbTe0.9988I0.0012,723,1.18469999999999,-221.78,22153.48
Pr2.74Te4,300,1.80819999999999,-99.48,104660.57
Pr2.74Te4,1200,0.998299999999999,-176.9,37198.53
Sb2Te3(Sn0.996Re0.004Te)8,325,1.9974,84.5,112835.35
Sb2Te3(Sn0.996Re0.004Te)8,773,1.7952,174.81,72818.72
Sn0.57Sb0.13Ge0.3Te,300,2.71439999999999,55.92,222068.91
Sn0.57Sb0.13Ge0.3Te,721,1.9661,131.505,41271.65
Sn0.83Ag0.03Mn0.17Te,300,4.2598,53.33,304361.2
Sn0.83Ag0.03Mn0.17Te,865,1.93379999999999,160.39,81296.79
Sn0.85Sb0.15Te,300,4.72593333333332,45.25,349101.64
Sn0.85Sb0.15Te,800,2.59089999999999,126.628,58600.39
Sn0.915Mn0.11In0.005Te,300,4.48443333333333,35.4725,458533.5
Sn0.915Mn0.11In0.005Te,823,2.0977,154.39,85756.27
Sn0.94Ca0.09Te,325,4.4927,155.33,294590.31
Sn0.94Ca0.09Te,873,2.02149999999999,188.01,99178.62
Sn0.94Mg0.09Te,300,4.5319,150.53,462742.47
Sn0.94Mg0.09Te,860,2.08609999999999,177.25,112727.31
Sn0.9975In0.0025Te,300,7.52502777777778,31.4391666666666,728578.660142857
Sn0.9975In0.0025Te,873,3.84315,97.3466666666666,155872.749722222
SnAg0.025In0.025Te1.05,300,4.7277,30.89,427059.17
SnAg0.025In0.025Te1.05,856,2.12809999999999,159.14,87799.66
Zn0.015Bi0.46Sb1.54Te3.015,300,1.0427,223.01,60753.76
Zn0.015Bi0.46Sb1.54Te3.015,373,1.0832,228.63,56890.55
