formula,temperature(K),sum_Atomic_Number,sum_Atomic_Weight,sum_Mendeleev_Number,sum_l_quantum_number,sum_Atomic_Radius,sum_Covalent_Radius,sum_Pauling_Electronegativity,sum_number_of_valence_electrons,sum_1st_ionization_potential_(kJ/mol),sum_Melting_point_(K),sum_Boiling_Point_(K),sum_Density_(g/mL),sum_specific_heat_(J/g_K)_,sum_heat_of_fusion_(kJ/mol)_,sum_heat_of_vaporization_(kJ/mol)_,sum_thermal_conductivity_(W/(m_K))_,sum_SpaceGroupNumber
ZrNiSn0.99Sb0.01,309.0,118.01,268.6579,185.05,5.0,4.9988,4.0997,5.2009,18.01,2087.25,4360.44,10193.25,22.7138,0.93683,41.52741,1246.0134,179.577,560.25
Ca14MgSb10.80Sn0.20,300.0,852.8,1924.147,1100.0,11.0,43.264,40.846,37.842,84.8,18147.0,26358.1,50481.9,97.154,12.1534,344.5158,3165.872,3231.76,5165.0
Sr14MgSb11,300.0,1105.0,2590.345,1115.0,11.0,46.74,43.36,37.16,85.0,17598.0,25457.9,49017.9,110.89,7.53,343.724,2991.94,917.5,5170.0
Eu14MgSb11,823.0,1455.0,3491.175,1353.0,53.0,48.42,42.38,40.66,99.0,17570.0,26199.9,51047.9,148.69,5.85,356.464,2984.94,617.9,5226.0
Yb14Mn0.2Al0.8Sb11,1223.0,1556.4,3794.492841,1549.8,54.2,46.976,38.242,39.548,100.8,18221.8,26285.7,47661.9,174.816,5.226,336.852,2933.06,947.064,5199.4
Yb14MgBi11,300.0,1905.0,4745.64907,1560.0,53.0,48.26,39.2,38.93,99.0,16913.0,22197.9,42095.9,206.57,4.44,240.494,3084.8,731.17,3476.0
YB66,300.0,369.0,802.43185,4764.0,68.0,59.54,55.74,135.86,201.0,53466.0,157038.05,285760.15,158.91,67.62,3324.6,32683.2,1799.2,11150.0
YNiSb,300.0,118.0,269.35925,158.0,5.0,4.94,4.21,5.18,18.0,2171.0,4426.45,8836.45,20.06,0.95,48.74,810.54,132.2,585.0
LaS,300.0,73.0,170.9715,101.0,3.0,2.83,2.71,3.68,9.0,1538.0,1579.1,4445.0,8.22,0.9,7.9175,423.8,13.769,264.0
LaSe,300.0,91.0,217.8655,102.0,3.0,2.98,2.85,3.65,9.0,1479.0,1683.3,4685.3,10.94,0.51,12.894,451.7,14.02,208.0
LaCrSe3,300.0,183.0,427.7816,329.0,7.0,6.7,6.44,10.41,27.0,4014.0,4793.75,9546.75,27.71,1.6,43.182,871.4,108.76,465.0
LaSrTiO3,300.0,141.0,322.4037,325.0,7.0,7.34,7.16,13.91,27.0,5688.0,4332.7,9214.9,13.23429,3.77,30.61777,989.2297,70.78022,649.0
Sr0.8La0.067Ti0.8Nb0.2O3,310.0,84.019,184.2861445,312.071,5.134,5.12665,5.20123,12.7057,24.001,5074.846,3172.66105,5697.03905,7.79434,3.48073,25.36317,626.3677,57.48472,429.998
SrTi0.85Nb0.15O3,323.0,86.85,190.252157,312.6,5.0,5.423,5.4715,12.819,24.15,5148.95,3260.75,5706.0,7.68879,3.541,26.06027,614.3797,62.05022,460.25
Ca0.89Pr0.08Sr0.03MnO3,373.0,72.66,152.506882,320.83,5.24,5.0399,5.3182,12.8789,27.08,5242.73,2798.81,4382.39,9.43159,3.8249,21.11857,400.7307,187.95922,475.52
Ba6Ti2Nb8O30,350.0,948.0,2142.95504,3126.0,50.0,48.94,47.46,124.42,240.0,48972.0,33426.9,61424.9,98.6829,31.944,295.2777,7252.297,584.6022,3954.0
Cu1.98Ag0.2Se,900.0,100.82,226.35472,228.72,4.96,4.231,4.1984,6.698,29.98,2562.3,3422.357,7078.677,24.6308,1.1194,34.793,682.41,880.3,504.5
Pb0.93Sb0.05S0.5Se0.5,300.0,103.81,254.297,168.08,1.98,2.4537,2.5261,4.4066,9.97,1678.08,1041.862,2821.387,14.3665,0.6464,9.66232,192.868,34.4385,259.55
SnSe,923.0,84.0,197.67,169.0,2.0,2.48,2.57,4.51,10.0,1650.0,995.3,3501.3,12.1,0.547,13.723,333.5,67.12,155.0
