Formula,Temperature(K),Prediction,1,Error Percentage
Yb0.066Co4Sb12,185,4.729199,4.8,1.475020833
Ca0.89Pr0.08Sr0.03MnO3,373,1.7069881,1.8,5.167327778
Sr0.8La0.067Ti0.8Nb0.2O3,310,4.268607,4.6,7.204195652
Bi0.94Y0.06CuSeO,300,0.83466965,0.7,19.23852143
Yb14MgBi11,300,1.9230727,1.56,23.27389103
ZrNiSn0.99Sb0.01,309,5.601238,7.35,23.79268027
Eu0.27Co4Sb12,347.7,3.209282,2.3,39.534
Ba6Ti2Nb8O30,350,2.5621011,1.8,42.33895
Ba6Ti2Nb8O30,350,2.5621011,1.8,42.33895
Mn30.36Re6Si63.64,873,1.8083097,1.27,42.38659055
YNiSb,300,8.751464,6,45.85773333
Yb0.40Co4Sb12,115.7,2.0585012,1.4,47.0358
SrTi0.85Nb0.15O3,300,3.1581666,7.1,55.51878028
SrTi0.85Nb0.15O3,300,3.1581666,7.1,55.51878028
Eu14MgSb11,823,1.2756162,0.82,55.56295122
Yb14Mn0.2Al0.8Sb11,1223,0.8127213,0.5,62.54426
LaSe,300,40.54047,24.3,66.83320988
SiB6,0.3,43.33278,140,69.04801429
SnSe,923,0.4311324,0.25,72.45296
Yb0.3Co4Sb12,434.5,3.3627214,1.9,76.98533684
LaSrTiO3,300,1.7348766,9.5,81.73814105
LaSrTiO3,300,1.7348766,9.5,81.73814105
LaS,300,42.472164,22.6,87.9299292
LaCrSe3,300,1.2930771,12.5,89.6553832
B4C,59,24.41588,304,91.96846053
Pb0.93Sb0.05S0.5Se0.5,300,2.1256742,1.1,93.24310909
Al0.55Y0.58B14,9.5,19.235783,-123,115.638848
Mg2.08Si0.364Sn0.6Sb0.036,300,3.0383744,1.38,120.172058
CaB6,44.3,42.051777,-165,125.4859255
SrB6,47.9,54.240143,-195,127.8154579
Ca14MgSb10.80Sn0.20,300,1.2765578,0.52,145.4918846
Mg1.98Cr0.02Si0.294Sn0.686Bi0.02,300,3.907731,1.55,152.1116774
Bi2S3,300,3.506717,1.31,167.6883206
Mg2Si,300,18.8099,6,213.4983333
YB66,300,6.528094,2,226.4047
Sr14MgSb11,300,2.1282022,0.55,286.9458545
Cu1.98Ag0.2Se,900,1.1695403,0.25,367.81612
MnSi1.733,850,9.413545,2,370.67725
Ce0.14Co4Sb12,122,5.657649,1.1,414.3317273
MnSi1.746Te0.03,823,9.456624,1.5,530.4416
Mg2.16Si0.392Sn0.591Sb0.015,300,12.564038,1.7,639.0610588
Mg1.98Li0.02Si0.4Sn0.6,300,15.871912,1.6,891.9945
