formula,temperature(K),sum_Atomic_Number,sum_Atomic_Weight,sum_Mendeleev_Number,sum_l_quantum_number,sum_Atomic_Radius,sum_Covalent_Radius,sum_Pauling_Electronegativity,sum_number_of_valence_electrons,sum_1st_ionization_potential_(kJ/mol),sum_Melting_point_(K),sum_Boiling_Point_(K),sum_Density_(g/mL),sum_specific_heat_(J/g_K)_,sum_heat_of_fusion_(kJ/mol)_,sum_heat_of_vaporization_(kJ/mol)_,sum_thermal_conductivity_(W/(m_K))_,sum_SpaceGroupNumber,seebeck_coefficient,Thermal_conductivity,electrical_conductivity(S/m)
BiSb(Se0.92Br0.08)3,300,236.24,567.84693,439.44,5.0,5.8284,6.3152,11.8184,28.24,4407.76,2864.942,6780.462,30.4092,1.32672,50.91408,289.69712,33.63448,232.0,-110.0,0.63,27766.0
BiSb(Se0.92Br0.08)3,400,236.24,567.84693,439.44,5.0,5.8284,6.3152,11.8184,28.24,4407.76,2864.942,6780.462,30.4092,1.32672,50.91408,289.69712,33.63448,232.0,-138.0,0.57,23883.0
BiSb(Se0.92Br0.08)3,500,236.24,567.84693,439.44,5.0,5.8284,6.3152,11.8184,28.24,4407.76,2864.942,6780.462,30.4092,1.32672,50.91408,289.69712,33.63448,232.0,-163.0,0.53,20850.0
BiSb(Se0.92Br0.08)3,600,236.24,567.84693,439.44,5.0,5.8284,6.3152,11.8184,28.24,4407.76,2864.942,6780.462,30.4092,1.32672,50.91408,289.69712,33.63448,232.0,-181.0,0.51,19000.0
BiSb(Se0.92Br0.08)3,700,236.24,567.84693,439.44,5.0,5.8284,6.3152,11.8184,28.24,4407.76,2864.942,6780.462,30.4092,1.32672,50.91408,289.69712,33.63448,232.0,-193.0,0.5,17925.0
BiSb(Se0.92Br0.08)3,800,236.24,567.84693,439.44,5.0,5.8284,6.3152,11.8184,28.24,4407.76,2864.942,6780.462,30.4092,1.32672,50.91408,289.69712,33.63448,232.0,-203.0,0.44,17340.0
BiSb(Se0.94Br0.06)3,300,236.18,567.79029,439.08,5.0,5.8338,6.3164,11.7938,28.18,4395.82,2878.394,6818.034,30.5094,1.31754,50.99856,291.03284,33.65836,229.0,-112.0,0.64,26117.0
BiSb(Se0.94Br0.06)3,400,236.18,567.79029,439.08,5.0,5.8338,6.3164,11.7938,28.18,4395.82,2878.394,6818.034,30.5094,1.31754,50.99856,291.03284,33.65836,229.0,-141.0,0.57,22500.0
BiSb(Se0.94Br0.06)3,500,236.18,567.79029,439.08,5.0,5.8338,6.3164,11.7938,28.18,4395.82,2878.394,6818.034,30.5094,1.31754,50.99856,291.03284,33.65836,229.0,-169.0,0.53,19362.0
BiSb(Se0.94Br0.06)3,600,236.18,567.79029,439.08,5.0,5.8338,6.3164,11.7938,28.18,4395.82,2878.394,6818.034,30.5094,1.31754,50.99856,291.03284,33.65836,229.0,-186.0,0.51,17500.0
